Date,Id,In-Time,Out-Time
2017-12-15,FS1339,9:34:27,18:00:13
2017-12-18,FS1339,9:57:10,18:51:27
2017-12-19,FS1339,9:43:14,19:02:09
2017-12-20,FS1339,9:36:37,18:44:47
2017-12-21,FS1339,9:36:28,18:42:11
2017-12-22,FS1339,9:33:38,18:39:42
2017-12-26,FS1339,9:51:28,18:47:04
2017-12-27,FS1339,9:27:43,18:55:21
2017-12-28,FS1339,9:50:14,18:28:06
2017-12-29,FS1339,9:54:11,18:16:36
2017-09-01,XESLPI,15:09:44,18:37:40
2017-09-04,XESLPI,9:16:59,18:34:58
2017-09-05,XESLPI,9:12:05,18:25:32
2017-09-06,XESLPI,9:09:40,18:34:31
2017-09-07,XESLPI,9:11:30,18:28:58
2017-09-08,XESLPI,9:13:58,18:29:27
2017-09-11,XESLPI,9:13:51,18:28:19
2017-09-12,XESLPI,9:14:06,18:32:42
2017-09-13,XESLPI,9:14:37,18:27:34
2017-09-14,XESLPI,9:13:32,18:27:20
2017-09-15,XESLPI,9:11:48,18:10:37
2017-09-18,XESLPI,9:09:40,18:31:18
2017-09-19,XESLPI,9:21:05,19:00:50
2017-09-20,XESLPI,9:10:34,18:35:17
2017-09-22,XESLPI,9:10:03,17:47:41
2017-09-25,XESLPI,9:23:17,18:35:50
2017-09-26,XESLPI,9:19:47,18:31:39
2017-09-27,XESLPI,9:33:31,18:08:56
2017-10-03,XESLPI,9:34:51,18:43:16
2017-10-04,XESLPI,9:26:46,18:25:32
2017-10-05,XESLPI,9:38:59,18:46:28
2017-10-06,XESLPI,9:26:16,18:28:27
2017-10-09,XESLPI,9:28:53,18:29:10
2017-10-10,XESLPI,9:27:02,18:29:31
2017-10-12,XESLPI,9:29:34,18:33:55
2017-10-13,XESLPI,9:27:44,18:45:09
2017-10-16,XESLPI,9:30:29,18:29:25
2017-10-17,XESLPI,9:21:24,18:41:01
2017-10-18,XESLPI,9:16:58,17:58:14
2017-10-24,XESLPI,9:29:19,18:31:12
2017-10-25,XESLPI,9:27:44,18:38:53
2017-10-26,XESLPI,9:02:20,18:38:58
2017-10-27,XESLPI,9:02:56,18:26:12
2017-10-30,XESLPI,8:35:02,18:08:54
2017-10-31,XESLPI,8:54:44,19:17:44
2017-11-01,XESLPI,8:57:12,19:12:21
